id,iso_a2,country,lifespan,quantifier,country_code,country_name,x2020,x2021,x2022,x2023,x2024,x2025,x2026,x2027,x2028,x2029,x2030,x2031,x2032,x2033,x2034,x2035,x2036,x2037,x2038,x2039,x2040,qpct,totalnets
Full CD: 70% target,GH,Ghana,2.5,14,GHA,Ghana,32180402,32833031.000000004,33475870.000000004,34121985,34777522,35439785,36102736,36767488,37435099,38104805,38775850,39447704,40121418,40797660,41475941,42158202,42844158,43533064,44223240,44910363,45595915,0.14,14884806.02
Full CD: 70% target,GH,Ghana,3,11,GHA,Ghana,32180402,32833031.000000004,33475870.000000004,34121985,34777522,35439785,36102736,36767488,37435099,38104805,38775850,39447704,40121418,40797660,41475941,42158202,42844158,43533064,44223240,44910363,45595915,0.11,11695204.73
Full CD: 70% target,GH,Ghana,3.5,9,GHA,Ghana,32180402,32833031.000000004,33475870.000000004,34121985,34777522,35439785,36102736,36767488,37435099,38104805,38775850,39447704,40121418,40797660,41475941,42158202,42844158,43533064,44223240,44910363,45595915,0.09,9568803.87
Full CD: 70% target,GM,Gambia,1,24,GMB,Gambia,2573995,2639916,2705992,2773168,2841804,2911208,2981096,3051308,3121685,3192412,3263651,3335154,3406846,3478942,3551235,3623616,3696214,3768766,3841110,3913159,3984778,0.24,2096185.92
Full CD: 70% target,GM,Gambia,1.5,18,GMB,Gambia,2573995,2639916,2705992,2773168,2841804,2911208,2981096,3051308,3121685,3192412,3263651,3335154,3406846,3478942,3551235,3623616,3696214,3768766,3841110,3913159,3984778,0.18,1572139.44
Full CD: 70% target,GM,Gambia,2,12,GMB,Gambia,2573995,2639916,2705992,2773168,2841804,2911208,2981096,3051308,3121685,3192412,3263651,3335154,3406846,3478942,3551235,3623616,3696214,3768766,3841110,3913159,3984778,0.12,1048092.96
Full CD: 70% target,GM,Gambia,2.5,9,GMB,Gambia,2573995,2639916,2705992,2773168,2841804,2911208,2981096,3051308,3121685,3192412,3263651,3335154,3406846,3478942,3551235,3623616,3696214,3768766,3841110,3913159,3984778,0.09,786069.72
Full CD: 70% target,GM,Gambia,3,7,GMB,Gambia,2573995,2639916,2705992,2773168,2841804,2911208,2981096,3051308,3121685,3192412,3263651,3335154,3406846,3478942,3551235,3623616,3696214,3768766,3841110,3913159,3984778,0.07,611387.56
Full CD: 70% target,GM,Gambia,3.5,6,GMB,Gambia,2573995,2639916,2705992,2773168,2841804,2911208,2981096,3051308,3121685,3192412,3263651,3335154,3406846,3478942,3551235,3623616,3696214,3768766,3841110,3913159,3984778,0.06,524046.48
Full CD: 70% target,GN,Guinea,1,24,GIN,Guinea,13205152,13531906,13859340,14190612,14528770,14873052,15220392,15568760,15918453,16269856,16622387.999999998,16976053,17330988,17687444,18044749,18402322,18759589,19115845,19471305,19827660,20185302,0.24,10709331.36
Full CD: 70% target,GN,Guinea,1.5,18,GIN,Guinea,13205152,13531906,13859340,14190612,14528770,14873052,15220392,15568760,15918453,16269856,16622387.999999998,16976053,17330988,17687444,18044749,18402322,18759589,19115845,19471305,19827660,20185302,0.18,8031998.52
Full CD: 70% target,GN,Guinea,2,12,GIN,Guinea,13205152,13531906,13859340,14190612,14528770,14873052,15220392,15568760,15918453,16269856,16622387.999999998,16976053,17330988,17687444,18044749,18402322,18759589,19115845,19471305,19827660,20185302,0.12,5354665.68
