"","V1","V2","V3","hhsize","npc"
"91",93.0648687487051,97.071507700763,101.069576022077,0,91
"92",93.8341495123922,97.8916972488788,101.8713280526,0,92
"93",94.6034302760784,98.7118867969938,102.673080083123,0,93
"94",95.3727110397646,99.5320763451086,103.474832113645,0,94
"95",96.1419918034507,100.352265893224,104.276584144168,0,95
"96",96.9112725671368,101.172455441338,105.078336174691,0,96
"97",97.680553330823,101.992644989453,105.880088205214,0,97
"98",98.4498340945091,102.812834537568,106.681840235736,0,98
"99",99.2191148581953,103.633024085683,107.483592266259,0,99
"100",99.9883956218814,104.453213633798,108.285344296782,0,100
"101",-0.0866659579680412,0.571666287696133,1.45651419448204,1,1
"102",1.40474492168686,2.13604723968995,3.10307026153066,1,2
"103",2.89615580134538,3.70042819168351,4.74962632857925,1,3
"104",4.38756668100559,5.26480914367648,6.39618239562786,1,4
